path	line	class	classification
.env.example	8	E	legacy visible asset or configuration display
.env.example	18	E	legacy visible asset or configuration display
.gitea/ISSUE_TEMPLATE/bug_report.yml	2	B	inherited mirror template; active mirror unverified
.gitea/ISSUE_TEMPLATE/bug_report.yml	35	B	inherited mirror template; active mirror unverified
.gitea/ISSUE_TEMPLATE/bug_report.yml	57	B	inherited mirror template; active mirror unverified
.gitea/ISSUE_TEMPLATE/config.yml	7	B	inherited mirror template; active mirror unverified
.gitea/ISSUE_TEMPLATE/config.yml	10	B	inherited mirror template; active mirror unverified
.gitea/ISSUE_TEMPLATE/config.yml	13	B	inherited mirror template; active mirror unverified
.gitea/ISSUE_TEMPLATE/feature_request.yml	2	B	inherited mirror template; active mirror unverified
.gitea/ISSUE_TEMPLATE/feature_request.yml	9	B	inherited mirror template; active mirror unverified
.gitea/ISSUE_TEMPLATE/feature_request.yml	26	B	inherited mirror template; active mirror unverified
.gitea/workflows/docker-publish.yml	3	C	inherited automation or identifier
.gitea/workflows/docker-publish.yml	67	C	inherited automation or identifier
.github/ISSUE_TEMPLATE/bug_report.yml	2	E	fork issue-template copy or destination
.github/ISSUE_TEMPLATE/bug_report.yml	35	E	fork issue-template copy or destination
.github/ISSUE_TEMPLATE/bug_report.yml	57	E	fork issue-template copy or destination
.github/ISSUE_TEMPLATE/config.yml	4	E	fork issue-template copy or destination
.github/ISSUE_TEMPLATE/config.yml	7	E	fork issue-template copy or destination
.github/ISSUE_TEMPLATE/config.yml	10	E	fork issue-template copy or destination
.github/ISSUE_TEMPLATE/config.yml	11	E	fork issue-template copy or destination
.github/ISSUE_TEMPLATE/config.yml	13	E	fork issue-template copy or destination
.github/ISSUE_TEMPLATE/feature_request.yml	2	E	fork issue-template copy or destination
.github/ISSUE_TEMPLATE/feature_request.yml	9	E	fork issue-template copy or destination
.github/ISSUE_TEMPLATE/feature_request.yml	26	E	fork issue-template copy or destination
.github/dependabot.yml	3	C	inherited automation or identifier
.github/workflows/docker-publish.yml	68	C	inherited automation or identifier
.github/workflows/mirror.yml	3	C	inherited automation or identifier
.github/workflows/mirror.yml	3	C	inherited automation or identifier
.github/workflows/mirror.yml	35	C	inherited automation or identifier
.github/workflows/mirror.yml	58	F	upstream site or repository URL
.github/workflows/mirror.yml	59	F	upstream site or repository URL
.github/workflows/pages.yml	1	F	upstream site or repository URL
.github/workflows/pages.yml	5	F	upstream site or repository URL
.github/workflows/test.yml	118	C	inherited automation or identifier
.github/workflows/test.yml	119	C	inherited automation or identifier
.github/workflows/test.yml	122	C	inherited automation or identifier
.github/workflows/test.yml	124	C	inherited automation or identifier
.github/workflows/test.yml	128	C	inherited automation or identifier
.github/workflows/test.yml	130	C	inherited automation or identifier
.github/workflows/test.yml	131	C	inherited automation or identifier
.github/workflows/test.yml	135	C	inherited automation or identifier
.github/workflows/test.yml	143	C	inherited automation or identifier
.github/workflows/test.yml	149	C	inherited automation or identifier
.github/workflows/test.yml	158	C	inherited automation or identifier
.github/workflows/test.yml	159	C	inherited automation or identifier
.github/workflows/test.yml	162	C	inherited automation or identifier
.github/workflows/test.yml	168	C	inherited automation or identifier
.github/workflows/test.yml	169	C	inherited automation or identifier
.github/workflows/test.yml	175	C	inherited automation or identifier
.gitlab-ci.yml	1	C	inherited automation or identifier
.gitlab-ci.yml	13	C	inherited automation or identifier
.gitlab-ci.yml	273	C	inherited automation or identifier
.gitlab-ci.yml	341	C	inherited automation or identifier
.gitlab-ci.yml	391	C	inherited automation or identifier
.gitlab-ci.yml	392	C	inherited automation or identifier
.gitlab-ci.yml	395	C	inherited automation or identifier
.gitlab-ci.yml	399	C	inherited automation or identifier
.gitlab-ci.yml	401	C	inherited automation or identifier
.gitlab-ci.yml	402	C	inherited automation or identifier
.gitlab-ci.yml	405	C	inherited automation or identifier
.gitlab-ci.yml	406	C	inherited automation or identifier
.gitlab-ci.yml	407	C	inherited automation or identifier
.gitlab-ci.yml	421	C	inherited automation or identifier
.gitlab-ci.yml	427	C	inherited automation or identifier
.gitlab-ci.yml	434	C	inherited automation or identifier
.gitlab-ci.yml	440	C	inherited automation or identifier
.gitlab-ci.yml	441	C	inherited automation or identifier
.gitlab-ci.yml	444	C	inherited automation or identifier
.gitlab-ci.yml	448	C	inherited automation or identifier
